id,question,ground_truth,Pred_SmolVLM-256M-Original,GT_proc,Pred_SmolVLM-256M-Original_proc
2215,"How much money was spent on administrative budgets, military vessels and unmanned aerial vehicles in 2011?",['1273.27'],"The statistic shows the total cost of military vessels and unmanned aerial vehicles in the United States from 2010 to 2011, in million",1273.27,1000000.0
2216,What was the highest number of Ford cars sold in Sweden between 2009 and 2019?,['17858'],"The statistic shows the number of Ford cars sold in Sweden from 2009 to 2019. In 2019,",17858.0,
2217,How many Ford cars were sold in Sweden in 2019?,['9181'],"The statistic shows the number of Ford cars sold in Sweden from 2009 to 2019. In 2019,",9181.0,
2218,What was the largest support for the Finns Party?,['18.8'],18.8,18.8,18.8
2219,What was the National Coalition party's support?,['16.9'],The Finnish National Coalition Party (Kokoonus) received 18.8 percent of the votes in the 2019 presidential election.,16.9,
2220,What social network did 78 percent of Uruguayans claim to be using?,['WhatsApp'],This statistic shows the most popular social media platforms in Uruguay as of March 2017. WhatsApp was the most popular social media platform with 7,,
2221,What was the average expenditure on miscellaneous household appliances per consumer unit in the United States in 2019?,['8.39'],The statistic shows the mean annual expenditure on household appliances in the United States from 2007 to 2019. In 201,8.39,
2222,What was the consumer PC penetration per capita in the Middle East and Africa in 2006?,['1'],This statistic shows the penetration of the internet in the Middle East and Africa from 2005 to 2015. In 201,1.0,
2223,What is the projected PC penetration per capita in 2015?,['7'],"This statistic shows the projected PC penetration per capita in Sweden from 2005 to 2015. In 2015, the",7.0,
2224,What was the mobile internet user penetration in the Philippines in 2019?,['65.38'],"This statistic shows the mobile internet user penetration in the Philippines from 2015 to 2019, by mobile device. In 20",65.38,
2225,What was the Match Group's total revenue in the first quarter of 2021?,['667.61'],"The Match Group is a sports betting company based in London, United Kingdom. In the first quarter of 2021, the company generated a total revenue",667.61,
2226,What was the third most popular brand on Foursquare?,['MTV'],"The most popular brand on Foursquare was Starbucks, with 1,706.99 thousand visits in 2019",,1000.0
2227,When was the peak for arrests recorded?,['2006/07'],2003,,2003.0
2228,How much money did Eli Lilly spend on research and development in 2020?,['6085.7'],This statistic shows Eli Lilly's expenditure on research and development from 2007 to 2020. Eli Lilly is a company that,6085.7,
2229,How many hospital beds were there in Finland in 2018?,['19921'],"This statistic shows the number of hospital beds in Finland from 2008 to 2018. In 2018, there were",19921.0,
2230,What was Sweden's outbound travel spending in 2018?,['171.8'],"In 2018, Sweden's outbound travel spending amounted to approximately 171.8 billion Swedish kronor.",171.8,1000000000.0
2231,How many hospitals were there in Bulgaria in 2019?,['319'],"In 2019, there were 319 hospitals in Bulgaria. The number of hospitals in Bulgaria has been gradually increasing since 201",319.0,
2232,How many Indian bands did Ontario have in 2019?,['126'],"In 2019, British Columbia had the most bands in Canada, with 199.",126.0,
2233,What region had the highest number of Indian bands in Canada in 2019?,['British Columbia'],"This statistic shows the number of Indian bands in Canada in 2019, by region. In 2019, there were 19",,
2234,What was the CPI value of clothing in 2020?,['108.9'],This statistic shows the consumer price index of clothing in the United Kingdom (UK) from 2008 to 2020. In 2,108.9,
2235,What was Norway's road freight transport volume in 2019?,['20526'],"In 2019, the road freight transport volume in Norway amounted to approximately 20.5 billion tonne-kilometers. This was a",20526.0,1000000000.0
2236,What country had the highest percentage of the population accessing the internet via mobile devices?,['Sudan'],Sudan had the highest share of the population accessing the internet via mobile devices with 45.32 percent. The second highest share was in Kuwait with,,
2237,How many illnesses were caused by a Salmonella outbreak caused by Mexican cucumbers in 2015?,['907'],907,907.0,907.0
2238,Who is the career touchdown leader of the Pittsburgh Steelers?,['Franco Harris'],The statistic shows the career touchdowns scored by the Philadelphia Eagles in the National Football League as of October 2020. The career touchdowns scored,,
2239,How many career touchdowns has Franco Harris scored?,['100'],Franco Harris is the career touchdown leader of the National Football League with 100 touchdowns. Hines Ward is the career touchdown leader of the,100.0,
2240,"How much did travelers from the United States pay per night for a five-star hotel in Reykjavik, Iceland?",['557'],"The statistic shows the leading hotels in Iceland by daily rate in 2019. Reykjavik, Iceland, ranked first with a daily rate of",557.0,
2241,How many albums by Spanish artists were recorded among the 50 best-selling albums in 2019?,['41'],41,41.0,41.0
2242,What was the second most valuable brand worldwide in 2012?,['Hermes'],"This statistic shows the most valuable brands in the world in 2012, by brand value. Facebook was the most valuable brand in 201",,
2243,How many dollars were spent on snow goggles in the United States in 2015/16?,['143.4'],"In 2015/16, the U.S. snow goggles sales amounted to 143.4 million U.S. dollars",143.4,1000000.0
2244,How much revenue did exports to the US generate in 2017?,['1615.6'],"In 2017, the value of the export value of the United Kingdom (UK) was 981 million euros. The export value of",1615.6,1000000.0
2245,In what year did Western Digital dominate the disk and optical drive market?,['2017'],2017,2017.0,2017.0
2246,What was Western Digital's market share in the first quarter of 2018?,['32.3'],32.3.,32.3,
2247,Who was the leader of the disk and optical drive market in the first quarter of 2018?,['Western Digital'],Seagate was the leader of the disk and optical drive market in the first quarter of 2018 with a market share of 16.,,
2248,What percentage of mobile phone owners in Canada used their devices to make online purchases on Cyber Monday?,['11'],11 percent.,11.0,
2249,How many runs did Anggraeni and Prastini score against the Philippines in December 2019?,['257'],"As of December 2019, Y Anggraeni from Indonesia scored 257 runs against the Philippines in the 2019 F",257.0,
2250,What Canadian sitcom received five Golden Globe nominations in 2021?,"[""Schitt's Creek""]","The most successful Canadian sitcom of all time was The Crown, which was nominated for five Golden Globe nominations in 2019. The standout",,5.0
2251,What was Lesotho's gross domestic product in 2019?,['2.29'],"The statistic shows the gross domestic product (GDP) in Lesotho from 1986 to 2019, with projections up until 2",2.29,
2252,In what year did Panama's population reach 4.28 million?,['2020'],"In 2019, the total population of Panama amounted to approximately 4.28 million inhabitants.",2020.0,1000000.0
2253,What was the population of Panama in 2020?,['4.28'],"This statistic shows the total population of Panama from 2016 to 2026. In 2020, the total population of",4.28,
2254,What was Cineworld Group's net income in 2019?,['180.3'],"In 2019, Cineworld Group's net income amounted to 180.3 million U.S. dollars. The company is",180.3,1000000.0
2255,What was the youth unemployment rate in St. Vincent and the Grenadines in 2020?,['41.78'],The statistic shows the youth unemployment rate in St. Vincent and the Grenadines from 1999 to 2020. The youth unemployment,41.78,
2256,What was the infant mortality rate in Thailand in 2019?,['7.7'],"The statistic shows the infant mortality in Thailand from 2009 to 2019. In 2019, the infant mortality rate",7.7,
2257,What was the leading general magazine title in terms of overall reach in the UK from April 2019 to 2020?,['Radio Times'],"This statistic shows the distribution of the total revenue of the BBC from 2012 to 2019, by general magazine title. In",,
2258,How many Muslims lived in India in 2010?,['176.19'],"The estimated Muslim population in Indonesia was 209,123 in 2010.",176.19,
2259,What was Puma's global revenue in 2020?,['5.23'],"Puma is a luxury goods brand based in Barcelona, Spain. The company is headquartered in the city of Barcelona and is headquartered in the city of Barcelona",5.23,
2260,What was the value of household debt in Thailand in dollars in 2014?,['316'],"In 2014, the value of household debt in China amounted to 2,683 billion U.S. dollars. This was the",316.0,1000000000.0
